name,industry,sector,website
MGM Resorts International,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure",http://www.mgmresorts.com
W.W. Grainger,Wholesalers: Diversified,Wholesalers,http://www.grainger.com
Group 1 Automotive,"Automotive Retailing, Services",Retailing,http://www.group1auto.com
BB&T Corp.,Commercial Banks,Financials,http://www.bbt.com
WestRock,"Packaging, Containers",Materials,http://www.westrock.com
Advance Auto Parts,Specialty Retailers: Other,Retailing,http://www.advanceautoparts.com
Ally Financial,Commercial Banks,Financials,http://www.ally.com
AGCO,Construction and Farm Machinery,Industrials,http://www.agcocorp.com
Corning,Network and Other Communications Equipment,Technology,http://www.corning.com
Biogen,Pharmaceuticals,Health Care,http://www.biogen.com
NGL Energy Partners,Wholesalers: Diversified,Wholesalers,http://www.nglenergypartners.com
Stryker,Medical Products and Equipment,Health Care,http://www.stryker.com
Molina Healthcare,Health Care: Insurance and Managed Care,Health Care,http://www.molinahealthcare.com
Precision Castparts,Aerospace and Defense,Aerospace & Defense,http://www.precast.com
Discover Financial Services,Commercial Banks,Financials,http://www.discoverfinancial.com
Genworth Financial,"Insurance: Life, Health (stock)",Financials,http://www.genworth.com
Eastman Chemical,Chemicals,Chemicals,http://www.eastman.com
Dean Foods,Food Consumer Products,"Food, Beverages & Tobacco",http://www.deanfoods.com
AutoZone,Specialty Retailers: Other,Retailing,http://www.autozone.com
MasterCard,Financial Data Services,Business Services,http://www.mastercard.com
Owens & Minor,Wholesalers: Health Care,Wholesalers,http://www.owens-minor.com
Hormel Foods,Food Consumer Products,"Food, Beverages & Tobacco",http://www.hormelfoods.com
GameStop,Specialty Retailers: Other,Retailing,http://www.gamestopcorp.com
Autoliv,Motor Vehicles and Parts,Motor Vehicles & Parts,http://www.autoliv.com
CenterPoint Energy,Utilities: Gas and Electric,Energy,http://www.centerpointenergy.com
Fidelity National Financial,Insurance: Property and Casualty (Stock),Financials,http://www.fnf.com
Sonic Automotive,"Automotive Retailing, Services",Retailing,http://www.sonicautomotive.com
HD Supply Holdings,Wholesalers: Diversified,Wholesalers,http://www.hdsupply.com
Charter Communications,Telecommunications,Telecommunications,http://www.charter.com
Crown Holdings,"Packaging, Containers",Materials,http://www.crowncork.com
Applied Materials,Semiconductors and Other Electronic Components,Technology,http://www.appliedmaterials.com
Mosaic,Chemicals,Chemicals,http://www.mosaicco.com
CBRE Group,Real estate,Financials,http://www.cbre.com
Avon Products,Household and Personal Products,Household Products,http://www.avoncompany.com
Republic Services,Waste Management,Business Services,http://www.republicservices.com
Universal Health Services,Health Care: Medical Facilities,Health Care,http://www.uhsinc.com
Darden Restaurants,Food Services,"Hotels, Resturants & Leisure",http://www.darden.com
Steel Dynamics,Metals,Materials,http://www.steeldynamics.com
SunTrust Banks,Commercial Banks,Financials,http://www.suntrust.com
